date,inventory_start,demand_realized,reorder_triggered,reorder_qty,stockout,stockout_amount,inventory_end,ss,rop,target_inventory,buffer
2025-01-01,684868.6117007558,259690.23313628827,True,50209.81045102386,False,0.0,475388.1890154914,,,,735078.4221517796
2025-01-02,475388.1890154914,474879.2280791387,True,251486.87113658735,False,0.0,251995.83207294007,,,,726875.0601520787
2025-01-03,251995.83207294007,362983.63209017285,True,459529.0951244078,False,0.0,348541.295107175,,,,711524.9271973479
2025-01-04,348541.295107175,227437.56412289667,True,314679.88795580226,False,0.0,435783.61894008063,,,,663221.1830629773
2025-01-05,435783.61894008063,208770.41123017026,True,200402.22364832927,False,0.0,427415.4313582396,,,,636185.8425884099
2025-01-06,427415.4313582396,507684.2128165517,True,211174.6504761409,False,0.0,130905.86901782884,,,,638590.0818343805
2025-01-07,130905.86901782884,605490.1138210491,True,513903.61344250944,False,0.0,39319.36863928917,,,,644809.4824603383
2025-01-08,39319.36863928917,672069.5620360113,True,588482.0009897933,True,44268.19240692875,0.0,,,,627801.3696290825
2025-01-09,0.0,678790.2250957661,True,612933.2042327315,True,65857.02086303465,0.0,,,,612933.2042327315
2025-01-10,0.0,655308.7797088646,True,606014.0290805333,True,49294.75062833133,0.0,,,,606014.0290805333
2025-01-11,0.0,199445.63245940112,True,586911.2670890727,False,0.0,387465.6346296716,,,,586911.2670890727
2025-01-12,387465.6346296716,221033.72134818084,True,186988.83666198666,False,0.0,353420.7499434774,,,,574454.4712916582
2025-01-13,353420.7499434774,772129.5240007224,True,234724.12394738634,True,183984.65010985872,0.0,,,,588144.8738908637
2025-01-14,0.0,557002.1930979986,True,590587.715786873,False,0.0,33585.52268887439,,,,590587.715786873
2025-01-15,33585.52268887439,575157.6110564087,True,546615.0801652095,False,0.0,5042.991797675146,,,,580200.6028540839
2025-01-16,5042.991797675146,542356.2522018369,True,571349.5550692172,False,0.0,34036.294665055466,,,,576392.5468668924
2025-01-17,34036.294665055466,688182.7437811029,True,533186.5029549168,True,120959.94616113068,0.0,,,,567222.7976199723
2025-01-18,0.0,483158.58702313853,True,548373.22693719,False,0.0,65214.63991405151,,,,548373.22693719
2025-01-19,65214.63991405151,759622.3687059826,True,471389.7726202917,True,223017.95617163938,0.0,,,,536604.4125343432
2025-01-20,0.0,1237833.8334375978,True,562469.2298938321,True,675364.6035437657,0.0,,,,562469.2298938321
2025-01-21,0.0,835958.549455564,True,576485.8119151453,True,259472.73754041875,0.0,,,,576485.8119151453
