date,inventory_start,demand_realized,reorder_triggered,reorder_qty,stockout,stockout_amount,inventory_end,ss,rop,target_inventory,buffer
2025-01-01,684868.6117007558,259690.23313628827,True,201366.18745034043,False,0.0,626544.566014808,39991.599986019144,849493.1709815585,846243.1991650771,
2025-01-02,626544.566014808,474879.2280791387,True,260778.28575748412,False,0.0,412443.6236931535,40292.73407191547,849437.6061450696,847030.1177003767,
2025-01-03,412443.6236931535,362983.63209017285,True,471679.7122794254,False,0.0,521139.7038824061,38866.94814332114,847516.3878193094,845256.3878292578,
2025-01-04,521139.7038824061,227437.56412289667,True,366133.4022445362,False,0.0,659835.5420040457,41220.24908696746,849684.0565856956,846052.8570399749,
2025-01-05,659835.5420040457,208770.41123017026,True,227508.24772236007,False,0.0,678573.3784962355,39734.50004487043,847659.580555501,847609.2896815353,
2025-01-06,678573.3784962355,507684.2128165517,True,206352.95950508642,False,0.0,377242.1251847702,39731.433043105986,847341.1264058951,845194.9049582159,
2025-01-07,377242.1251847702,605490.1138210491,True,507093.9184080226,False,0.0,278845.9297717437,39333.14697671764,846753.932183565,845002.8966160752,
2025-01-08,278845.9297717437,672069.5620360113,True,604193.4688162606,False,0.0,210969.83655199304,39522.19903239826,846384.311790487,843517.199555606,
2025-01-09,210969.83655199304,678790.2250957661,True,674164.6993117247,False,0.0,206344.31076795165,40249.50205933009,847608.2217553514,844885.0338043877,
2025-01-10,206344.31076795165,655308.7797088646,True,677408.2146201512,False,0.0,228443.74567923823,39837.378132763086,846574.286899704,843915.1472553398,
2025-01-11,228443.74567923823,199445.63245940112,True,655847.8748287868,False,0.0,684845.9880486239,40217.71806523489,846771.8291563799,844073.9024427902,
2025-01-12,684845.9880486239,221033.72134818084,True,197891.87017337212,False,0.0,661704.1368738152,39257.728129089715,844799.6493494173,843480.1300929063,
2025-01-13,661704.1368738152,772129.5240007224,True,223998.61490124447,False,0.0,113573.22777433717,40130.796034262334,846037.4727667538,845571.9557407973,
2025-01-14,113573.22777433717,557002.1930979986,True,769948.7748594619,False,0.0,326519.8095358005,40268.666521252795,845680.8284296033,843253.3361125463,
2025-01-15,326519.8095358005,575157.6110564087,True,555016.947725388,False,0.0,306379.14620477974,39269.632760057604,844536.1451202047,842267.1245011309,
2025-01-16,306379.14620477974,542356.2522018369,True,574614.160418917,False,0.0,338637.0544218598,39365.49063429757,844152.2108871168,841627.8159893991,
2025-01-17,338637.0544218598,688182.7437811029,True,543305.1735509608,False,0.0,193759.4841917177,39304.74987506773,844258.8054067942,842637.4780977529,
2025-01-18,193759.4841917177,483158.58702313853,True,687844.7885145987,False,0.0,398445.6856831779,39997.60672514295,844782.5533644869,841606.6659811735,
2025-01-19,398445.6856831779,759622.3687059826,True,486847.69868309377,False,0.0,125671.0156602891,40880.366643763984,845803.8180759891,844413.0177225077,
2025-01-20,125671.0156602891,1237833.8334375978,True,756811.5137211386,True,355351.30405617016,0.0,39651.97651911943,844714.1640708034,842830.5528623082,
2025-01-21,0.0,835958.549455564,True,884059.705893664,False,0.0,48101.156438100035,40810.70646910726,846051.4565929349,843248.9994245567,
2025-01-22,48101.156438100035,519793.39241533866,True,837248.4446710044,False,0.0,365556.2086937658,40768.6376659492,845674.0825482933,844580.9634431553,
2025-01-23,365556.2086937658,1001388.450503656,True,518209.4361265569,True,117622.8056833332,0.0,40600.46037159305,845704.7829351396,843165.1844487296,
2025-01-24,0.0,499794.7621796818,True,881721.9182799187,False,0.0,381927.1561002369,39232.095285409,843925.9998495262,842489.8229945097,
2025-01-25,381927.1561002369,228134.23774476396,True,498005.97879048955,False,0.0,651798.8971459626,39233.11041387222,843074.4155320228,840700.0244768542,
2025-01-26,651798.8971459626,219544.6729384267,True,228452.96838899367,False,0.0,660707.1925965295,38979.16243196398,842825.2112718122,841272.7031029923,
2025-01-27,660707.1925965295,871864.2826344754,True,221148.54985526338,False,0.0,9991.45981731743,39918.77198596363,843892.72764723,841936.9704658292,
2025-01-28,9991.45981731743,465602.8066668224,True,872018.8328400671,False,0.0,416407.4859905621,40468.72308334869,843985.1160293982,841541.5695740358,
2025-01-29,416407.4859905621,457382.65372116986,True,464516.19915946235,False,0.0,423541.0314288546,39704.73765177864,843126.4844410677,841218.9474982459,
2025-01-30,423541.0314288546,400206.45040432655,True,456304.0883604397,False,0.0,479638.66938496777,39521.85926527704,841848.1690202534,840323.2605240173,
2025-01-31,479638.66938496777,446587.11872578884,True,399609.6798561592,False,0.0,432661.2305153382,39216.28410658151,841784.7850756997,840032.0651345454,
2025-02-01,432661.2305153382,275770.65154087765,True,446512.9145239604,False,0.0,603403.4934984209,39631.38266691859,841276.5103506886,839542.76237238,
2025-02-02,603403.4934984209,645843.7694107151,True,275753.7760837995,False,0.0,233313.50017150526,39667.97334840052,841681.6016887674,839489.2962338199,
2025-02-03,233313.50017150526,1138015.0648182489,True,648802.8397309483,True,255898.72491579526,0.0,40333.040079284685,843055.5330237434,841783.2998231689,
2025-02-04,0.0,745895.2942522957,True,883979.2901433894,False,0.0,138083.99589109363,41148.95285187809,843739.6193113385,842830.3372915112,
2025-02-05,138083.99589109363,508468.50710156735,True,741169.5975635251,False,0.0,370785.08635305136,39389.087129356965,841425.996724416,839864.5063252618,
2025-02-06,370785.08635305136,469002.2332049115,True,505810.2035955163,False,0.0,407593.0567436561,39132.58621688431,840962.9322448579,837462.7037316833,
2025-02-07,407593.0567436561,577455.9026912468,True,470812.34992681147,False,0.0,300949.50397922075,39573.84997786032,841138.2268522278,838831.5566926072,
2025-02-08,300949.50397922075,232659.15892413727,True,579759.2942410674,False,0.0,648049.6392961509,40293.342894948524,841497.1588714449,840415.4553253396,
2025-02-09,648049.6392961509,287387.3042221785,True,229551.5202066331,False,0.0,590213.8552806055,39730.28918549415,839973.5228977874,837870.8703172898,
2025-02-10,590213.8552806055,411329.7231189816,True,286506.61455969384,False,0.0,465390.74672131776,39248.19429618737,839230.6598936428,837472.275544112,
2025-02-11,465390.74672131776,391538.27308321185,True,410129.84916023037,False,0.0,483982.3227983363,38424.534696435585,837923.4450310756,837096.0611851126,
2025-02-12,483982.3227983363,504061.013971151,True,392166.8187394574,False,0.0,372088.12756664265,39323.1694019864,839158.4326717866,836825.9721358073,
2025-02-13,372088.12756664265,384452.4333508114,True,503354.8088166241,False,0.0,490990.5030324553,38869.232935452455,838463.7510853573,836573.7034478143,
2025-02-14,490990.5030324553,335333.12572337093,True,381204.94486348523,False,0.0,536862.3221725696,37902.89261607755,836522.3474805987,834292.555279863,
2025-02-15,536862.3221725696,174699.78346082574,True,336215.95684450836,False,0.0,698378.4955562523,38744.41621310853,836793.937769734,834333.8628039694,
2025-02-16,698378.4955562523,171944.37247453455,True,178465.8988669423,False,0.0,704900.02194866,39872.051088668675,837950.9597986332,836972.3433345259,
