date,inventory_start,demand_realized,reorder_triggered,reorder_qty,stockout,stockout_amount,inventory_end,ss,rop,target_inventory,buffer
2025-01-01,9944439.463075481,4233008.1778328745,True,673889.2320608106,False,0.0,6385320.517303417,,,,10618328.695136292
2025-01-02,6385320.517303417,6444811.534619461,True,4096243.8314533113,False,0.0,4036752.814137268,,,,10481564.348756729
2025-01-03,4036752.814137268,6068582.521913678,True,6125155.475704228,False,0.0,4093325.767927817,,,,10161908.289841495
2025-01-04,4093325.767927817,4390896.179978504,True,5646839.276274706,False,0.0,5349268.864224019,,,,9740165.044202523
2025-01-05,5349268.864224019,3530528.503354419,True,4036559.6998574687,False,0.0,5855300.060727069,,,,9385828.564081488
2025-01-06,5855300.060727069,6499349.459837581,True,3562043.0186633505,False,0.0,2917993.6195528386,,,,9417343.07939042
2025-01-07,2917993.6195528386,9532625.991571259,True,6657171.508892798,False,0.0,42539.13687437773,,,,9575165.128445636
2025-01-08,42539.13687437773,10323009.934766887,True,9348816.39894147,True,931654.3989510387,0.0,,,,9391355.535815848
2025-01-09,0.0,8950565.886590123,True,9129776.055603178,False,0.0,179210.16901305504,,,,9129776.055603178
2025-01-10,179210.16901305504,8111377.622949932,True,8903894.92169864,False,0.0,971727.4677617624,,,,9083105.090711694
2025-01-11,971727.4677617624,3586643.353244326,True,7837122.517195359,False,0.0,5222206.631712795,,,,8808849.984957121
2025-01-12,5222206.631712795,3566416.9312466998,True,3390278.0322819045,False,0.0,5046067.732748,,,,8612484.6639947
2025-01-13,5046067.732748,12728989.276563035,True,3760581.0803782046,True,3922340.463436831,0.0,,,,8806648.813126205
2025-01-14,0.0,7087460.55194388,True,8833922.929684937,False,0.0,1746462.3777410574,,,,8833922.929684937
2025-01-15,1746462.3777410574,7532627.576252059,True,6935734.304110561,False,0.0,1149569.105599559,,,,8682196.681851618
2025-01-16,1149569.105599559,7978464.991068544,True,7491041.158149737,False,0.0,662145.272680752,,,,8640610.263749296
2025-01-17,662145.272680752,8117253.091595939,True,7780155.304593248,False,0.0,325047.4856780609,,,,8442300.577274
