asset,metric,proposed,baseline,p_value,significant,proposed_better,elasticity,n_exponent_clipped
BTC,stockout_rate,0.08493150684931507,0.336986301369863,1.1813538223122754e-23,True,True,-1.0551763038982431,0
BTC,mean_daily_holding_cost,6740509.868894042,2339719.14059558,6.158520161695284e-110,True,False,-1.0551763038982431,0
BTC,restock_frequency,1.0,1.0,,False,,-1.0551763038982431,0
BTC,total_stockout_amount,6228782.100700404,21629895.873540893,,,,-1.0551763038982431,0
ETH,stockout_rate,0.6191780821917808,0.32054794520547947,6.96871729728568e-30,True,False,-1.0838985620744246,0
ETH,mean_daily_holding_cost,427342.4538247004,1255350.2880642035,2.3005385589209746e-51,True,True,-1.0838985620744246,0
ETH,restock_frequency,0.9972602739726028,1.0,0.3179748058293704,False,,-1.0838985620744246,0
ETH,total_stockout_amount,853887472.5441151,389440545.4899648,,,,-1.0838985620744246,0
